"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14043","Vérification des modules de l'application par l'utilisateur ADMINISTRATEUR NID","default","2026-03-22","failed","2026-03-22","","verification_des_modules_applicatifs.ts","",""
"","19718","Création d'un admin de structure d'un medecin et de son planinng","default","2026-03-22","passed","2026-03-22","","creation_admin_structure_medecin_planing.ts","",""
