"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18334","Création d'un admin, d'un médecin et de son planning","default","2026-03-29","failed","2026-03-29","","caregiver-app-tests/creation_admin_structure_medecin_planing.ts","",""
"","10342","Vérification des modules de l'application par l'utilisateur ADMINISTRATEUR NID","default","2026-03-29","passed","2026-03-29","","caregiver-app-tests/verification_des_modules_applicatifs_par_superadmin.ts","",""
